Seconds lapsed,tank level,tank inflow
3310,1404,15.221328735351563
3320,1390,18.684720993041992
3330,1385,19.512990951538086
3340,1375,19.04726791381836
3350,1384,20.961278915405273
3360,1378,19.47102165222168
3370,1376,19.849760055541992
3380,1352,17.600257873535156
3390,1328,17.69693374633789
3400,1295,16.739652633666992
3410,1299,20.499767303466797
3420,1313,21.42105484008789
3430,1300,18.750638961791992
3440,1279,17.9450740814209
3450,1282,20.324188232421875
3460,1227,14.598616600036621
3470,1217,19.061767578125
3480,1185,16.83075714111328
3490,1163,17.851547241210938
3500,1156,19.376785278320313
3510,1114,15.842768669128418
3520,1090,17.6977481842041
3530,1048,15.876913070678711
3540,1033,18.544334411621094
3550,1047,21.496021270751953
3560,1047,20.00881576538086
3570,1023,17.69256591796875
3580,1112,28.931129455566406
3590,1122,21.0755558013916
3600,1089,16.772666931152344
3610,1079,19.091787338256836
3620,1076,19.758323669433594
3630,1008,13.221847534179688
3640,1003,19.531946182250977
3650,1020,21.78369903564453
3660,1000,18.07282829284668
3670,1006,20.63129425048828
3680,967,16.187986373901367
3690,939,17.298328399658203
3700,951,21.241518020629883
3710,1011,26.030025482177734
3720,1014,20.384084701538086
3730,994,18.0296573638916
3740,978,18.47182273864746
3750,1008,23.07697868347168
3760,1010,20.262361526489258
3770,957,14.776449203491211
3780,982,22.533727645874023
3790,954,17.245698928833008
3800,975,22.17926025390625
3810,987,21.22368812561035
3820,1062,27.545087814331055
3830,1078,21.64327049255371
3840,1113,23.50159454345703
3850,1082,16.94386863708496
3860,1105,22.37238121032715
3870,1107,20.21367073059082
3880,1143,23.612564086914063
3890,1147,20.436567306518555
3900,1181,23.465129852294922
3910,1152,17.147258758544922
3920,1103,15.106979370117188
3930,1113,21.02554702758789
3940,1035,12.237531661987305
3950,1066,23.11836051940918
3960,1089,22.357114791870117
3970,1055,16.629364013671875
3980,1053,19.857341766357422
3990,1072,21.997018814086914
4000,1100,22.869768142700195
4010,1096,19.69857406616211
4020,1065,16.972105026245117
4030,1009,14.439236640930176
4040,1018,20.996129989624023
4050,972,15.476301193237305
4060,1031,25.911758422851563
4070,1041,21.03257179260254
4080,1038,19.702829360961914
4090,1087,24.9827880859375
4100,1131,24.456546783447266
4110,1127,19.61469268798828
4120,1125,19.88452911376953
4130,1092,16.796798706054688
4140,1078,18.602397918701172
4150,1045,16.794187545776367
4160,1005,16.088062286376953
4170,1048,24.38857078552246
